,critic_name,top_critic,critic_publication,review_icon,review_quote,review_link,date_published,season,language,pos_tag,wordnet_pos,review_quote_processed
0,Nathan Mattise,False,Ars Technica,fresh,"['breaking', 'bad', 'expanded', 'universes', 'look', 'equally', 'great', 'better', 'call', 'saul']",https://arstechnica.com/gaming/2019/12/tv-changed-a-lot-in-the-2010s-and-the-decades-best-reflects-that/,"Jul 28, 2021",1,en,"[('breaking', 'VBG'), ('bad', 'JJ'), ('expanded', 'VBN'), ('universes', 'NNS'), ('look', 'VBP'), ('equally', 'RB'), ('great', 'JJ'), ('better', 'RBR'), ('call', 'NN'), ('saul', 'NN')]","[('breaking', 'v'), ('bad', 'a'), ('expanded', 'v'), ('universes', 'n'), ('look', 'v'), ('equally', 'r'), ('great', 'a'), ('better', 'r'), ('call', 'n'), ('saul', 'n')]",break bad expand universe look equally great well call saul
1,Jamie East,False,The Sun (UK),fresh,"['knew', 'watching', 'foundations', 'amazing', 'building', 'laid', 'would', 'pleasurable', 'finished', 'article']",https://www.thesun.co.uk/tvandshowbiz/11368333/better-call-saul-good-as-it-gets/,"Apr 12, 2020",1,en,"[('knew', 'VB'), ('watching', 'VBG'), ('foundations', 'NNS'), ('amazing', 'VBG'), ('building', 'NN'), ('laid', 'NN'), ('would', 'MD'), ('pleasurable', 'VB'), ('finished', 'JJ'), ('article', 'NN')]","[('knew', 'v'), ('watching', 'v'), ('foundations', 'n'), ('amazing', 'v'), ('building', 'n'), ('laid', 'n'), ('would', 'n'), ('pleasurable', 'v'), ('finished', 'a'), ('article', 'n')]",know watch foundation amaze building laid would pleasurable finished article
2,Li Lai,False,Mediaversity Reviews,rotten,"['creators', 'gilligan', 'gould', 'left', 'entire', 'swathes', 'people-specifically', 'look', 'like', 'them-in', 'dustbin', 'tropes', 'stereotypes']",https://www.mediaversityreviews.com/tv-reviews/2017/9/4/better-call-saul,"Aug 5, 2019",1,en,"[('creators', 'NNS'), ('gilligan', 'VBP'), ('gould', 'JJ'), ('left', 'VBD'), ('entire', 'JJ'), ('swathes', 'NNS'), ('people-specifically', 'RB'), ('look', 'VBP'), ('like', 'IN'), ('them-in', 'JJ'), ('dustbin', 'NN'), ('tropes', 'NNS'), ('stereotypes', 'NNS')]","[('creators', 'n'), ('gilligan', 'v'), ('gould', 'a'), ('left', 'v'), ('entire', 'a'), ('swathes', 'n'), ('people-specifically', 'r'), ('look', 'v'), ('like', 'n'), ('them-in', 'a'), ('dustbin', 'n'), ('tropes', 'n'), ('stereotypes', 'n')]",creator gilligan gould leave entire swathe people-specifically look like them-in dustbin trope stereotype
3,Khal Davenport,False,Complex,fresh,"['better', 'call', 'saul', 'magnificent', 'job', 'highlighting', 'far', 'people', 'can-and', 'will-go', '``', 'right', ""''""]",https://www.complex.com/pop-culture/2016/02/better-call-saul-season-2-review,"Apr 24, 2019",1,en,"[('better', 'RBR'), ('call', 'NN'), ('saul', 'JJ'), ('magnificent', 'JJ'), ('job', 'NN'), ('highlighting', 'VBG'), ('far', 'RB'), ('people', 'NNS'), ('can-and', 'VBP'), ('will-go', 'JJ'), ('``', '``'), ('right', 'NN'), (""''"", ""''"")]","[('better', 'r'), ('call', 'n'), ('saul', 'a'), ('magnificent', 'a'), ('job', 'n'), ('highlighting', 'v'), ('far', 'r'), ('people', 'n'), ('can-and', 'v'), ('will-go', 'a'), ('``', 'n'), ('right', 'n'), (""''"", 'n')]",well call saul magnificent job highlight far people can-and will-go `` right ''
4,Gem Seddon,False,SFX Magazine,fresh,"['hard', 'imagine', 'breaking', 'bad', 'spin-off', 'able', 'cap', 'brilliance', 'series', 'thanks', 'superb', 'performance', 'bob', 'odenkirk', 'delves', 'practically', 'every', 'emotional', 'state', 'first', 'season', 'alone', 'good', '...']",https://www.gamesradar.com/best-netflix-tv-shows/2/,"Nov 16, 2018",1,en,"[('hard', 'JJ'), ('imagine', 'NN'), ('breaking', 'VBG'), ('bad', 'JJ'), ('spin-off', 'NN'), ('able', 'JJ'), ('cap', 'NN'), ('brilliance', 'NN'), ('series', 'NN'), ('thanks', 'NNS'), ('superb', 'JJ'), ('performance', 'NN'), ('bob', 'NN'), ('odenkirk', 'VBP'), ('delves', 'NNS'), ('practically', 'RB'), ('every', 'DT'), ('emotional', 'JJ'), ('state', 'NN'), ('first', 'JJ'), ('season', 'NN'), ('alone', 'RB'), ('good', 'JJ'), ('...', ':')]","[('hard', 'a'), ('imagine', 'n'), ('breaking', 'v'), ('bad', 'a'), ('spin-off', 'n'), ('able', 'a'), ('cap', 'n'), ('brilliance', 'n'), ('series', 'n'), ('thanks', 'n'), ('superb', 'a'), ('performance', 'n'), ('bob', 'n'), ('odenkirk', 'v'), ('delves', 'n'), ('practically', 'r'), ('every', 'n'), ('emotional', 'a'), ('state', 'n'), ('first', 'a'), ('season', 'n'), ('alone', 'r'), ('good', 'a'), ('...', 'n')]",hard imagine break bad spin-off able cap brilliance series thanks superb performance bob odenkirk delf practically every emotional state first season alone good ...
5,Stephen Marche,False,Esquire Magazine,fresh,"['better', 'call', 'saul', 'like', 'breaking', 'bad', 'without', 'boring', 'bits', 'become', 'something', 'show', 'follows', 'predecessor', 'become', 'commentary', 'companion', 'show', 'original']",https://www.esquire.com/entertainment/tv/reviews/a34166/better-call-saul-season-1-review/,"Oct 19, 2018",1,en,"[('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('like', 'IN'), ('breaking', 'VBG'), ('bad', 'JJ'), ('without', 'IN'), ('boring', 'VBG'), ('bits', 'NNS'), ('become', 'VBP'), ('something', 'NN'), ('show', 'NN'), ('follows', 'VBZ'), ('predecessor', 'CC'), ('become', 'JJ'), ('commentary', 'JJ'), ('companion', 'NN'), ('show', 'NN'), ('original', 'JJ')]","[('better', 'r'), ('call', 'n'), ('saul', 'n'), ('like', 'n'), ('breaking', 'v'), ('bad', 'a'), ('without', 'n'), ('boring', 'v'), ('bits', 'n'), ('become', 'v'), ('something', 'n'), ('show', 'n'), ('follows', 'v'), ('predecessor', 'n'), ('become', 'a'), ('commentary', 'a'), ('companion', 'n'), ('show', 'n'), ('original', 'a')]",well call saul like break bad without bore bit become something show follow predecessor become commentary companion show original
6,Adam Sweeting,False,The Arts Desk,fresh,"['stunt', 'cheap', 'mcgill', 'played', 'masterly', 'mix', 'low', 'cunning', 'sweaty', 'desperation', 'bob', 'odenkirk']",https://www.theartsdesk.com/tv/better-call-saul-netflix,"Jul 24, 2018",1,en,"[('stunt', 'NN'), ('cheap', 'NN'), ('mcgill', 'NN'), ('played', 'VBD'), ('masterly', 'RB'), ('mix', 'JJ'), ('low', 'JJ'), ('cunning', 'VBG'), ('sweaty', 'NN'), ('desperation', 'NN'), ('bob', 'NN'), ('odenkirk', 'NN')]","[('stunt', 'n'), ('cheap', 'n'), ('mcgill', 'n'), ('played', 'v'), ('masterly', 'r'), ('mix', 'a'), ('low', 'a'), ('cunning', 'v'), ('sweaty', 'n'), ('desperation', 'n'), ('bob', 'n'), ('odenkirk', 'n')]",stunt cheap mcgill play masterly mix low cunning sweaty desperation bob odenkirk
7,Ashley Bissette Sumerel,False,Tell-Tale TV,fresh,"['better', 'call', 'saul', 'turning', 'artistic', 'thoughtful', 'entertaining', 'show']",https://www.telltaletv.com/2015/02/review-better-call-saul-the-two-night-premiere/,"Jun 21, 2018",1,en,"[('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('turning', 'VBG'), ('artistic', 'JJ'), ('thoughtful', 'JJ'), ('entertaining', 'NN'), ('show', 'NN')]","[('better', 'r'), ('call', 'n'), ('saul', 'n'), ('turning', 'v'), ('artistic', 'a'), ('thoughtful', 'a'), ('entertaining', 'n'), ('show', 'n')]",well call saul turn artistic thoughtful entertaining show
8,Kaitlin Thomas,False,TV Guide,fresh,"['better', 'call', 'saul', 'worthy', 'successor', 'breaking', 'bad', 'breaking', 'bad', '2.0']",http://www.tvguide.com/news/what-to-watch-summer-tv/,"Jun 19, 2018",1,en,"[('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('worthy', 'NN'), ('successor', 'NN'), ('breaking', 'VBG'), ('bad', 'JJ'), ('breaking', 'VBG'), ('bad', 'JJ'), ('2.0', 'CD')]","[('better', 'r'), ('call', 'n'), ('saul', 'n'), ('worthy', 'n'), ('successor', 'n'), ('breaking', 'v'), ('bad', 'a'), ('breaking', 'v'), ('bad', 'a'), ('2.0', 'n')]",well call saul worthy successor break bad break bad 2.0
9,Karl Quinn,True,The Age (Australia),fresh,"['end', 'episode', 'started', 'feel', 'kind', 'familiar', 'best', 'possible', 'way']",https://www.theage.com.au/entertainment/tv-and-radio/better-call-saul-review-back-to-where-it-all-began-for-breaking-bads-dodgy-lawyer-20150210-13a6qn.html,"Mar 27, 2018",1,en,"[('end', 'NN'), ('episode', 'NN'), ('started', 'VBD'), ('feel', 'NN'), ('kind', 'NN'), ('familiar', 'JJ'), ('best', 'RBS'), ('possible', 'JJ'), ('way', 'NN')]","[('end', 'n'), ('episode', 'n'), ('started', 'v'), ('feel', 'n'), ('kind', 'n'), ('familiar', 'a'), ('best', 'r'), ('possible', 'a'), ('way', 'n')]",end episode start feel kind familiar best possible way
