critic_name,top_critic,critic_publication,review_icon,review_quote,review_link,date_published,season
Nathan Mattise,False,Ars Technica,fresh,[Breaking Bad] expanded universes? Look to the (equally great) Better Call Saul.,https://arstechnica.com/gaming/2019/12/tv-changed-a-lot-in-the-2010s-and-the-decades-best-reflects-that/,"Jul 28, 2021",1
Jamie East,False,The Sun (UK),fresh,Who knew that watching the foundations of an amazing building being laid would be as pleasurable as the finished article?,https://www.thesun.co.uk/tvandshowbiz/11368333/better-call-saul-good-as-it-gets/,"Apr 12, 2020",1
Li Lai,False,Mediaversity Reviews,rotten,"Creators Gilligan and Gould have left entire swathes of people-specifically, those who don't look like them-in the dustbin of tropes and stereotypes.",https://www.mediaversityreviews.com/tv-reviews/2017/9/4/better-call-saul,"Aug 5, 2019",1
Khal Davenport,False,Complex,fresh,"Better Call Saul does a magnificent job at highlighting just how far people can-and will-go to do ""right.""",https://www.complex.com/pop-culture/2016/02/better-call-saul-season-2-review,"Apr 24, 2019",1
Gem Seddon,False,SFX Magazine,fresh,"It's hard to imagine a Breaking Bad spin-off being able to cap the brilliance of that series. Thanks to the superb performance by Bob Odenkirk, who delves into practically every emotional state in its first season alone, it's just as good...",https://www.gamesradar.com/best-netflix-tv-shows/2/,"Nov 16, 2018",1
Stephen Marche,False,Esquire Magazine,fresh,"Better Call Saul has been like Breaking Bad without the boring bits. It has become something more, too: a show that not only follows on from its predecessor but has become a commentary on it, a companion show to the original.",https://www.esquire.com/entertainment/tv/reviews/a34166/better-call-saul-season-1-review/,"Oct 19, 2018",1
Adam Sweeting,False,The Arts Desk,fresh,"No stunt is too cheap for McGill, who's played with a masterly mix of low cunning and sweaty desperation by Bob Odenkirk.",https://www.theartsdesk.com/tv/better-call-saul-netflix,"Jul 24, 2018",1
Ashley Bissette Sumerel,False,Tell-Tale TV,fresh,"Better Call Saul is turning out to be an artistic, thoughtful, and very entertaining show.",https://www.telltaletv.com/2015/02/review-better-call-saul-the-two-night-premiere/,"Jun 21, 2018",1
Kaitlin Thomas,False,TV Guide,fresh,"Better Call Saul is a worthy successor to Breaking Bad, but it's not Breaking Bad 2.0.",http://www.tvguide.com/news/what-to-watch-summer-tv/,"Jun 19, 2018",1
Karl Quinn,True,The Age (Australia),fresh,"By the end of the episode, it had all started to feel kind of familiar, in the best possible way.",https://www.theage.com.au/entertainment/tv-and-radio/better-call-saul-review-back-to-where-it-all-began-for-breaking-bads-dodgy-lawyer-20150210-13a6qn.html,"Mar 27, 2018",1
Judy Berman,True,Flavorwire,fresh,"Its first few episodes aren't quite as epic as Breaking Bad's, but they're surprising, character-packed, and tense enough to give the series a fighting chance of becoming its predecessor's equal.",http://flavorwire.com/502799/better-call-saul-review,"Sep 22, 2017",1
Jac Kern,False,Cincinnati CityBeat,fresh,"With the recent overabundance of sequels and reboots of classic films and shows, it's uncommon to find a quality spin-off with its own legs.",http://www.citybeat.com/movies-tv/tv/article/20864027/saul-is-even-better-than-breaking-bad,"Sep 12, 2017",1
Martin Hoyle,True,Financial Times,fresh,"For Breaking Bad's legion of fans Better Call Saul, released in weekly episodes, contains elements of prequel, recap and sequel, evoking Breaking Bad's residual glamour.",https://www.ft.com/content/c42c1874-c3ab-11e4-8fa9-00144feab7de,"May 2, 2017",1
Patricia Garcia,False,Vogue,fresh,"The question on fans' minds is whether or not the new show will live up to its predecessor. Well, rest easy, Breaking Bad fans: Better Call Saul is actually pretty good.",http://www.vogue.com/article/better-call-saul-breaking-bad-spin-off,"Mar 7, 2017",1
Jeff Beck,False,The Blu Spot,fresh,Better Call Saul is a sharply-written and instantly-engaging prequel that delivers on the fascinating concept of telling us the backstory of the eccentric and morally-questionable Saul Goodman.,http://www.thebluspot.com/single-post/2015/11/09/Better-Call-Saul-The-Complete-First-Season-A-SharplyWritten-and-Engaging-Prequel-Bluray,"Nov 9, 2015",1
Frazier Moore,True,Associated Press,fresh,"The man we knew as Saul is back, better than ever, in Better Call Saul, a much-anticipated, well-worth-waiting-for prequel.",http://www.sandiegouniontribune.com/news/2015/feb/05/bob-odenkirk-returns-as-bad-lawyer-in-better-call/,"Oct 15, 2015",1
Sonia Saraiya,True,Salon.com,fresh,It did make me care about the man who becomes Saul Goodman in a way I never did in Breaking Bad.,http://www.salon.com/2015/01/31/%E2%80%9Cbetter_call_saul%E2%80%9D_humanizes_the_smooth_talking_%E2%80%9Cbreaking_bad%E2%80%9D_sidekick_in_a_surprisingly_solid_spin_off/,"Oct 15, 2015",1
Hal Boedeker,True,Orlando Sentinel,fresh,"My advice: Give the promising Saul time, and remember that Breaking Bad took years to become the revered classic that it is.",http://www.orlandosentinel.com/entertainment/tv/tv-guy/os-better-call-saul-promising-prequel-20150205-post.html,"Oct 15, 2015",1
Alessandra Stanley,True,New York Times,fresh,"Better Call Saul is better than good: It's delightful - in a brutal, darkly comic way, of course.",http://www.nytimes.com/2015/02/06/arts/television/better-call-saul-a-breaking-bad-spinoff-on-amc.html?_r=0,"Oct 15, 2015",1
Cory Mahoney,False,Hollywood.com,fresh,"The episodes bring back the glory of the Breaking Bad days without being cheesy or overly nostalgic; there are thrills, laughs, twists, and overall, a strong premise.",http://www.hollywood.com/tv/better-call-saul-review-57598408/,"Oct 15, 2015",1
Emily Nussbaum,True,New Yorker,fresh,"Like its predecessor, Better Call Saul has a mordant wit: it's full of quotable put-downs and promising themes about the fuzzy line between legal and illegal skills.",http://www.newyorker.com/magazine/2015/04/13/my-idea-of-fun,"Apr 7, 2015",1
Cameron Williams,False,The Popcorn Junkie,fresh,A miracle,http://thepopcornjunkie.com/2015/03/17/better-call-saul-a-masterclass-in-fan-service/,"Mar 16, 2015",1
Matt Roush,False,TV Insider,fresh,Odenkirk brings such vividly raw desperation to this hapless bottom-feeder that it's hard not to root for Jimmy as he tangles with lowlifes while feverishly trying to hang on to a shred of professional integrity and decency. That's a ride worth taking.,http://www.tvinsider.com/article/242/roush-review-better-call-saul/,"Feb 23, 2015",1
Tom Long,True,Detroit News,fresh,"Saul is a tangential prequel to Breaking Bad... Saul is also the story of a man slipping over to the dark side, filled with comical touches, not-so-comical brutality and oddball complications.",http://www.detroitnews.com/story/entertainment/television/2015/02/06/better-call-saul-carries-spirit-breaking-bad/22947219/,"Feb 23, 2015",1
Kari Croop,False,Common Sense Media,fresh,"Just as Breaking Bad did when Walter and Jesse started cooking together, Saul eventually shifts into high gear and delivers real promise as an addictive drama that's full of surprises and, more importantly, thoughtful storytelling.",https://www.commonsensemedia.org/tv-reviews/better-call-saul,"Feb 10, 2015",1
Anne Easton,True,Observer,fresh,"In short, the propaganda surrounding Saul has been entirely accurate, and while Jimmy may experience disappointment after disappointment, viewers will suffer no such fate.",http://observer.com/2015/02/does-better-call-saul-live-up-to-the-hype/,"Feb 9, 2015",1
Tom Conroy,True,Media Life,fresh,"Fans of Breaking Bad will be pleased to hear that AMC's new prequel to that show, Better Call Saul, is a Frasier.",http://www.medialifemagazine.com/better-call-saul-certainly/,"Feb 9, 2015",1
Vicki Hyman,True,Newark Star-Ledger,fresh,"How will Better Call Saul play for those unfamiliar with Breaking Bad? It still works, provided they're content with Gilligan's trademark loopiness and the show's leisurely (but confident) pace.",http://www.nj.com/entertainment/tv/index.ssf/2015/02/better_call_saul_review_breaking_bad_bob_odenkirk.html#incart_river,"Feb 9, 2015",1
Drew Grant,True,Observer,fresh,I'd give it a solid A for the pilot-which seems at once like a completely different structure from Breaking Bad while simultaneously existing in the exact same world-and the little revelations I had during it felt very Deep-with-a-capital-D.,http://observer.com/2015/02/near-honor-students-all-better-call-saul-premieres-unnecessary-and-brilliant/,"Feb 9, 2015",1
